T001;600000;639;11 giờ 30 phút
T002;600000;660;13 giờ 46 phút
T003;600000;627;10 giờ 7 phút
T004;250000;271;6 giờ
T005;600000;756;16 giờ 38 phút
T006;600000;827;19 giờ
T007;600000;685;12 giờ 16 phút
T008;250000;75;2 giờ
T009;250000;260;5 giờ 26 phút
T010;300000;317;6 giờ 21 phút
T011;300000;380;7 giờ 37 phút
T012;300000;352;8 giờ 30 phút
T013;250000;272;6 giờ 35 phút
T014;250000;255;5 giờ 26 phút
T015;300000;311;8 giờ
T016;300000;330;9 giờ 30 phút
T017;300000;354;8 giờ
T018;400000;435;9 giờ
T019;600000;966;17 giờ 52 phút
T020;600000;820;16 giờ 37 phút
T021;300000;380;7 giờ 37 phút
T022;300000;317;6 giờ 21 phút
T023;250000;143;4 giờ
T024;250000;135;3 giờ 33 phút
T025;250000;236;6 giờ 30 phút
T026;250000;282;6 giờ 30 phút
T027;300000;302;8 giờ
T028;250000;;10 giờ 4 phút
T029;300000;350;9 giờ
T030;250000;144;4 giờ
T031;250000;135;3 giờ 33 phút
T032;250000;115;4 giờ 30 phút
T033;400000;459;11 giờ
T034;250000;166;5 giờ 30 phút
T035;250000;190;4 giờ 4 phút
T036;250000;112;4 giờ 30 phút
T037;250000;166;4 giờ
T038;250000;167;4 giờ 30 phút
T039;400000;451;9 giờ 9 phút
T040;250000;144;3 giờ
T041;250000;236;6 giờ 30 phút
T042;250000;115;4 giờ 30 phút
T043;250000;240;6 giờ 15 phút
T044;400000;457;11 giờ
T045;600000;757;17 giờ
T046;600000;843;17 giờ
T047;250000;137;4 giờ
T048;250000;163;4 giờ
T049;500000;511;10 giờ 49 phút
T050;300000;310;8 giờ
T051;300000;305;8 giờ
T052;250000;293;8 giờ
T053;250000;294;8 giờ
T054;300000;320;8 giờ
T055;300000;318;8 giờ
T056;600000;756;16 giờ 38 phút
T057;600000;966;20 giờ
T058;500000;568;10 giờ 4 phút
T059;600000;666;17 giờ
T060;600000;636;12 giờ 12 phút
T061;600000;736;14 giờ 38 phút
T062;600000;766;18 giờ
T063;500000;528;9 giờ 25 phút
T064;500000;543;12 giờ
T065;600000;957;20 giờ
T066;600000;850;20 giờ
T067;600000;942;17 giờ 29 phút
T068;250000;230;6 giờ
T069;600000;636;12 giờ 12 phút
T070;250000;290;8 giờ
T071;500000;515;12 giờ
T072;600000;763;14 giờ 38 phút
T073;600000;764;18 giờ
T074;600000;654;12 giờ 50 phút
T075;250000;79;2 giờ 30 phút
T076;300000;352;8 giờ 30 phút
T077;250000;89;3 giờ 30 phút
T078;300000;314;8 giờ
T079;250000;271;5 giờ 21 phút
T080;250000;166;5 giờ 30 phút
T081;250000;178;5 giờ
T082;600000;827;19 giờ
T083;600000;745;16 giờ 35 phút
T084;600000;654;12 giờ 50 phút
T085;600000;1042;18 giờ 25 phút
T086;600000;1042;18 giờ 25 phút
T087;250000;186;5 giờ
T088;250000;205;5 giờ 30 phút
T089;250000;210;5 giờ 30 phút
T090;250000;190;4 giờ 4 phút
T091;300000;357;7 giờ 18 phút
T092;250000;78;2 giờ 30 phút
T093;250000;224;5 giờ 30 phút
T094;250000;186;3 giờ 40 phút
T095;250000;138;4 giờ
T096;500000;528;9 giờ 25 phút
T097;500000;545;12 giờ
T098;400000;436;9 giờ 40 phút
T099;400000;427;9 giờ
T100;400000;429;9 giờ
T101;400000;469;9 giờ 18 phút
T102;400000;465;9 giờ
T103;400000;464;12 giờ
T104;300000;341;7 giờ 54 phút
T105;250000;200;6 giờ
T106;300000;326;7 giờ
T107;250000;163;4 giờ
T108;250000;192;4 giờ 15 phút
T109;250000;205;6 giờ
T110;600000;753;18 giờ
T111;600000;631;13 giờ 33 phút
T112;600000;753;18 giờ
T113;600000;820;16 giờ 37 phút
T114;500000;511;10 giờ 49 phút
T115;600000;812;15 giờ 57 phút
T116;600000;643;12 giờ 36 phút
T117;600000;612;14 giờ
T118;250000;271;6 giờ 15 phút
T119;250000;272;6 giờ 35 phút
T120;250000;112;4 giờ 30 phút
T121;250000;89;3 giờ 30 phút
T122;250000;142;4 giờ 30 phút
T123;250000;222;6 giờ 30 phút
T124;250000;121;3 giờ 50 phút
T125;250000;112;3 giờ 50 phút
T126;250000;103;3 giờ 34 phút
T127;250000;84;3 giờ 30 phút
T128;250000;103;3 giờ 34 phút
T129;600000;720;12 giờ 30 phút
T130;600000;750;12 giờ
T131;250000;208;5 giờ 30 phút
T132;250000;252;5 giờ 13 phút
T133;600000;639;11 giờ 30 phút
T134;600000;660;13 giờ 46 phút
T135;250000;282;6 giờ 30 phút
T136;250000;166;3 giờ 12 phút
T137;300000;305;8 giờ
T138;300000;310;8 giờ
T139;600000;957;17 giờ 48 phút
T140;600000;942;17 giờ 29 phút
T141;250000;290;8 giờ
T142;600000;1042;22 giờ
T143;600000;1043;22 giờ
T144;250000;205;5 giờ 30 phút
T145;250000;224;5 giờ 30 phút
T146;400000;436;9 giờ 40 phút
T147;400000;469;9 giờ 18 phút
T148;400000;465;9 giờ
T149;300000;341;7 giờ 54 phút
T150;300000;326;7 giờ
T151;250000;192;4 giờ 15 phút
T152;600000;812;15 giờ 57 phút
T153;600000;643;12 giờ 36 phút
T154;250000;84;3 giờ 30 phút
T155;250000;122;3 giờ
T156;250000;121;3 giờ 50 phút
T157;250000;11;3 giờ 50 phút
T158;250000;122;3 giờ
T159;250000;161;3 giờ 16 phút
T160;500000;506;12 giờ 41 phút
T161;250000;247;5 giờ 51 phút
T162;250000;283;5 giờ 23 phút
T163;250000;105;5 giờ 30 phút
T164;600000;627;10 giờ 7 phút
T165;250000;272;6 giờ
T166;250000;75;2 giờ
T167;300000;354;8 giờ
T168;300000;330;9 giờ 30 phút
T169;400000;435;9 giờ
T170;300000;303;8 giờ
T171;300000;350;9 giờ
T172;250000;167;4 giờ 30 phút
T173;250000;145;3 giờ
T174;250000;240;6 giờ 15 phút
T175;300000;310;8 giờ
T176;300000;310;8 giờ
T177;300000;310;8 giờ
T178;600000;980;20 giờ
T179;250000;230;6 giờ
T180;500000;515;12 giờ
T181;300000;316;8 giờ
T182;250000;271;5 giờ 21 phút
T183;250000;178;5 giờ
T184;600000;943;25 giờ
T185;250000;186;5 giờ
T186;250000;207;5 giờ 30 phút
T187;300000;357;7 giờ 18 phút
T188;400000;427;9 giờ
T189;400000;426;9 giờ
T190;400000;462;12 giờ
T191;250000;200;6 giờ
T192;250000;203;6 giờ
T193;600000;757;18 giờ
T194;500000;585;14 giờ
T195;250000;202;6 giờ 15 phút
T196;250000;142;4 giờ 30 phút
T197;250000;223;6 giờ 30 phút
T198;600000;750;12 giờ
T199;600000;720;12 giờ 30 phút
T200;250000;205;5 giờ 30 phút
T201;250000;252;5 giờ 13 phút
T202;250000;133;4 giờ 30 phút
T203;250000;232;5 giờ 59 phút
T204;500000;535;12 giờ
T205;250000;209;5 giờ
T206;250000;94;4 giờ
T207;250000;161;3 giờ 16 phút
T208;250000;130;4 giờ 30 phút
T209;250000;232;5 giờ 59 phút
T210;500000;506;13 giờ
T211;500000;535;13 giờ
T212;250000;209;5 giờ
T213;250000;247;5 giờ 51 phút
T214;250000;283;5 giờ 23 phút
T215;300000;311;8 giờ
T216;400000;451;9 giờ 9 phút
T217;300000;318;7 giờ 30 phút
T218;250000;105;3 giờ 44 phút
T219;250000;95;3 giờ
